Time,Symbol,Side,Price,Qty,Route,Broker,Account,Type,Cloid,
09:39:26,SEPN,B,10.5,300,PDQ,ARCX,10103688,Margin,Q2505140017405,
09:38:44,SEPN,SS,10.8,25,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.8,4,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.8,10,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.81,50,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.81,10,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.82,1,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.82,100,MNGD,,10103688,Short,H2505140000260,
09:38:44,SEPN,SS,10.82,100,MNGD,,10103688,Short,H2505140000260,
09:36:38,SEPN,S,10.7,1,MNGD,,10103688,Margin,H2505140000200,
09:35:50,SEPN,B,10.41,1,MNGD,,10103688,Margin,H2505140000177,
08:41:15,QNRX,S,9.25,42,LAMP,LAMP,10103688,Margin,S2505140004666,
08:29:01,QNRX,B,9.18,301,PDQ,ARCX,10103688,Margin,Q2505140012222,
08:28:37,QNRX,SS,9.48,125,PDQ,ARCX,10103688,Short,Q2505140012221,
08:28:37,QNRX,SS,9.48,135,PDQ,ARCX,10103688,Short,Q2505140012221,
08:28:24,QNRX,B,9.49,1,PDQ,ARCX,10103688,Margin,Q2505140011185,
08:03:00,QNRX,B,9.95,24,PDQ,,10103688,Margin,Q2505140011143,
08:03:00,QNRX,B,9.9,125,PDQ,,10103688,Margin,Q2505140011143,
07:49:45,SEPN,S,11.6303,149,PDQ,,10103688,Margin,Q2505140010476,
07:49:43,SEPN,S,11.6,27,PDQ,ARCX,10103688,Margin,Q2505140010467,
07:49:43,SEPN,S,11.6,123,PDQ,ARCX,10103688,Margin,Q2505140010467,
07:48:42,SEPN,S,11.4,300,PDQ,ARCX,10103688,Margin,Q2505140010455,
07:47:21,SEPN,B,11.23,300,PDQ,ARCX,10103688,Margin,Q2505140010327,
07:46:24,SEPN,B,11.45,305,PDQ,ARCX,10103688,Margin,Q2505140010351,
07:46:24,SEPN,B,11.45,81,PDQ,ARCX,10103688,Margin,Q2505140010351,
07:46:24,SEPN,B,11.45,41,PDQ,ARCX,10103688,Margin,Q2505140010351,
07:46:24,SEPN,B,11.4497,35,PDQ,,10103688,Margin,Q2505140010351,
07:46:24,SEPN,B,11.4497,38,PDQ,,10103688,Margin,Q2505140010351,
07:46:24,SEPN,SS,11.43,1,PDQ,ARCX,10103688,Short,Q2505140009421,
07:45:52,SEPN,SS,11.21,1,PDQ,ARCX,10103688,Short,Q2505140009471,
07:45:21,QNRX,B,10,150,PDQ,ARCX,10103688,Margin,Q2505140010268,
07:44:34,QNRX,SS,11.01,42,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.01,21,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.03,36,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.03,43,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.01,22,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.03,36,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11,65,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,SS,11.03,35,PDQ,,10103688,Short,Q2505140010215,
07:44:34,QNRX,B,11.01,1,PDQ,ARCX,10103688,Margin,Q2505140010128,
07:39:30,SEPN,B,10.86,100,PDQ,ARCX,10103688,Margin,Q2505140009931,
07:26:10,SEPN,SS,10.89,300,PDQ,ARCX,10103688,Short,Q2505140009449,
07:25:26,SEPN,B,10.6,1,PDQ,ARCX,10103688,Margin,Q2505140009434,
07:17:39,SEPN,S,11,100,PDQ,ARCX,10103688,Margin,Q2505140009122,
07:16:55,SEPN,B,10.9,100,PDQ,ARCX,10103688,Margin,Q2505140009061,
